,label,sentence
2419,shame,when a certain girl i believed to be my life partner refused an engagement
2420,disgust,i saw a dog who was eating excrements
2421,anger,"i don ' t use to lie to my parets about what i do , and the two times that i felt anger were when they doubted me i said that i was going to the club , and they didn ' t believe me because the day before they had met me at fliperama i had the wish to kill them"
2422,guilt,not helping parents enough at home and at the farm this has happened many times
2423,disgust,when i felt the smell of industries that pollute
2424,anger,"i was asked to stop studying economics , a field which interested me , by my employers"
2425,sadness,i had a quarrell with my boyfriend and decided to finish with him and and my easter holidays
2426,fear,i had fear of my father ( parents ) when i first became pregnant i was afraid of delivery itself and whether i would give birth to a stiiborn or a baby
2427,joy,when i knew that my husband and i were going to have a child
2428,guilt,i cheated my boyfriend
2429,joy,going to a concert
2430,sadness,thinking about friends overseas
2431,anger,at boarding school someone put a lot of tiny thorns on my bed when i complained everybody began teasing me and laughing at my inability to find out my enemies i lost my temper
2432,sadness,getting separated from my family for a week caused me a sense of sadness
2433,joy,that was what i felt when i was finally accepted in the bulgarian conservatorie after i had applied a couple of years
2434,sadness,at rejection being ignored by a loved person held in great esteem
2435,anger,a certain friend tried to push me off a seat in a very violent way for no apparent reason it may be that he was excited about something
2436,joy,arriving in new zealand as a teenager first overseas trip something exhilarating about the change of scenery etc
2437,shame,"i had obviously done the work badly but my class mates of the student ' s association did not blame me , they helped me do the work"
2438,fear,my 2 year old daughter disappeared in a moment of inattention i was responsible for her
2439,guilt,i felt guilty the other day because i took two pieces of bread instead of one in the cafeteria and some of the girls were short of bread
2440,anger,"one of my friends asked me to go shopping with her , another friend of hers was also coming along during the outing they kept talking to each other and i felt left out , even when i tried to talk to them they seemed not to listen to me and did not pay me much attention"
2441,shame,arguing about price with private shop assistant
2442,fear,earth crake
2443,fear,at the age of 12 years i always had to take care of my little brother and sister i never could sleep then i always imagined creepy men sneaking into our house
2444,shame,i was amongst a group of people talking about how the maori people were stirrers and causing trouble in our country i felt shame to be a pakeha when other pakehas had such narrow conservative views
2445,disgust,when i was the south koreans on the tv
2446,anger,i felt angry when my only pair of trousers was stolen and could not be able to find out who the thief was or anyone who knew about the story
2447,anger,"i lent a text book to a person i did not know very well , they lost the text book and gave me no compensation"
2448,shame,no response
2449,joy,when india first won the world cup cricket tournament
2450,guilt,when i did not go to work because i had to study for a midterm
2451,guilt,i hit my little sisiter on the head with a stone while we were fighting
2452,guilt,when my aunt went out of her way to help me out with my financial problems
2453,disgust,disgust with oneself after being intoxicated enough to go to bed with a stranger
2454,anger,"when i could not reason my friend , it angered me"
2455,joy,a friend of mine often had difficulties with her parents once she had a child she had a better relationship with them
2456,disgust,"when i went home by train from sicilia , i was molested by a man"
2457,guilt,not getting an airplane ticket fot my mother
2458,joy,"i felt the greatest burst of joy when after being heavily ill for a long period , my father came back home"
2459,fear,when my brother hit his head and lost consciousness at the sports practice for some time he could not remember what had happened but he recovered later
2460,sadness,"when i left my sister ' s house after staying there for a few days she has two little boys , and they are very warm people ( the family ) at the time , i was in need of this sort of contact , and i grew very fond of children ( no , i ' m not a paedophiliac )"
2461,shame,"i remember that once , a friend did not co operate with me due to some unavoidable reasons unaware of this i treated her unjustly till i realized everything , and then i felt ashamad of my deeds"
2462,anger,my father began to say incoherant things concerning my brother ' s and my own behaviour towards him his biased ( authoritarian ) and ridiculous point of view made us angry
2463,anger,with the girl whom i may be loved truly when she refused to come with me to an occasion ( she was from another town )
2464,sadness,about two years ago my girlfriend suggested that we separate this really gave me a shock as i had never thought that she would say such things the reason she gave me was that we were not suited for each other
2465,sadness,when my first love was not successful
2466,sadness,"when my boyfriend wanted to leave me , i felt sad and melancholic"
2467,joy,"right before i went to a concert with my last boyfriend he told me that although he told me he was going to take me to the concert , he didn ' t want to see me anymore after that we stayed overnight and i said well , when he leaves me i will be ruined for awhile , but for now we ' re together i woke up in his arms and it was the happiest moment of my life"
2468,anger,"when bicycling along , a courier van started to tail me very close i sped up and moved over and he just did the same i reacted violently , much physical responding in the dangerous situation"
2469,anger,when a friend wouldn ' t speak to me and wouldn ' t tell me why
2470,fear,"i feared that i was pregnant it was not planned and i would have been compelled to have an abortion , which i would not have liked at all fortunately , after a week ' s anxiety , i got to know that i was not pregnant"
2471,anger,when my mother interfered in my life
2472,shame,when i fell head on in a fountain
2473,fear,as i was in a ward one man died and i was instructed to watch the last offices but this was my first time to see a dead person fear came
2474,guilt,i was involved in a attempt on a man i had developed a close warming relationship with although i knew i had done everything i could and that his progress of a normal life was poor i felt guilty as if i could have done more
2475,shame,"one day , when i was sitting on the bus , there was an old woman standing beside me i was very tired and sleepy and did not think of giving her my seat a 50 year old woman who was sitting beside me got up and gave her seat to the old woman and said , old woman , please take my seat , the youngstters these days are not used to giving their seats to others when i heard these words i was very ashamed of myself and wanted to get off the bus at once"
2476,fear,when i slipped on a glazed frost road and a car almost ran into me
2477,sadness,the death of my father
2478,joy,time had struck 8 o ' clock when i heard from the radio that i had been selected to robert blake secondary school for form i i was very happy for the selection my parents and i were very happy and full of joy
2479,guilt,"when before the last exam i have taken , i went out instead of studying"
2480,sadness,no response
2481,shame,"when i was in lower six i joined an interview group to interview the general public one of my friends in the group lost her purse and she was very nervous five of us had to go another place so we left her , and planned to see her later then i heard her describing how her purse looked i realized that i had seen her purse on the floor and had not wanted to do any thing about it"
2482,shame,when i could not hold my bladder while making a telephone call and ended up wetting myself
2483,fear,"i felt fear once , when the car in which i travelled directed towards the precipice along the road"
2484,anger,"when a friend carelessly broke and object in my parent ' s house and did not apologize , or pay , or anything"
2485,disgust,i happened to see the video tape movie this is america part one at my friend ' s place
2486,guilt,late for a lecture and therefore missed it
2487,shame,"in the last day of carnaval i met a boy and began to flirt with him i was in love with him when he introduced me to his friends i died of shame because i was with them before , i met my boyfriend in carnaval"
2488,anger,i feel anger when things don ' t come out as i wish
2489,shame,china not winning more gold medals in the asian olympics
2490,sadness,guy i cared for went back to canada to live
2491,joy,when my daughter was born
2492,shame,i am ashamed at myself sometimes when i am working with handicapped people and don ' t wish to be seen in public with them
2493,fear,haven ' t been frightened for ages
2494,disgust,some foreign students playing loud music late at night
2495,anger,"when talking with my sister , she often ventilates prejudices , which my father also adheres"
2496,fear,birds had made nests in our thatched roof and they were flying and flapping their wings in the bedroom at night it was very dark and i could not even see my nose i did not know that it was the birds till my mother told me so
2497,fear,when i am travelling by car and have to meet an oncoming car while overtaking
2498,disgust,people who discriminate other people disgust me
2499,fear,i was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me
2500,guilt,i felt guilty when i failed to take an exam though i had had enough time to read for it but i hadn ' t made use of it
2501,fear,"one year , when i went to a camp , i was chased by a dog i tried hard and finally managed to escape from it my torch suddenly went off and we talked about ghost stories and i thought that there were ghosts"
2502,fear,my father had been drinking and i feared him when we went to bed at night
2503,sadness,i felt sad and depressed when i heard that our cat had died
2504,anger,meddlesomeness of my mother about the way i live she thinks i am to free in my behavior for instance when a boyfriend stays the night
2505,disgust,given duty by the leaders which i do not like to do
2506,joy,"when a girl i wanted very much , said yes and fell in love with me"
2507,joy,when my brother who has been out of new zealand for 10 years came to visit with his wife which none of our family had previously met
2508,sadness,hearing about developments of sience in the west a lot better than china
2509,guilt,"i cut a friend ' s hair in anger , without any consideration"
2510,sadness,"my mother was stuck by an apoplectic fit , was hemi paralyzed and suffered an aphasia"
2511,shame,i was very fat and felt absolutely unwell i was afraid of leaving the house and getting to know new people
2512,fear,taking a chemistry midterm
2513,guilt,"i was supposed to fetch some friends at the bus stop , but i did not do it because my father was in a bad mood and i was afraid that he would grumble"
2514,guilt,"when my sister had the opportunity to do some modelling work and i was quite jealous later on the photographer decided not to take her photograph , and she was very upset i felt guilty as a result , almost as if i had caused her to lose her opportunity , by not being genuinely happy for her in the first place"
2515,anger,i saw in a movie a block on which affluence and poverty existed i saw that the rich made no attempts to help the poor
2516,shame,one morning after breakfast i was still not satisfied my nephew ( a small boy of 2 ) had not eaten his breakfast and just when i was taking a bit of his share someone walked in
2517,sadness,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me
2518,disgust,noticing my flat had maggotts !
2519,fear,fear of doing well on a midterm
2520,guilt,"i couldn ' t fulfill a request of a girlfriend of mine , though i categorically promised her and i believed there wouldn ' t be any hindrance it was partly for objective reasons but also because i couldn ' t organize myself"
2521,anger,"a co worker and i had to rush a project i was only working there for one month and he for some years instead of letting me know that he wanted to do the project himself , he went to the superviser and let the superviser tell me to let the co worker do it himself since he was quicker at it"
2522,disgust,"i felt disgust with a man i had trusted and respected , to whose problems i had always shown deep understanding"
2523,anger,"my sister came back home and reproached me for not having tidied up the house , although i had been working all morning and she had done nothing"
2524,anger,"in the holiday cottage of our association , two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room it was the morning service at its loudest"
2525,sadness,love problems
2526,sadness,when my grandfather died
2527,anger,"when my friend , as usual , forgot the tickets at home for a performance we missed it"
2528,shame,"the first time that i caressed a girl , i was about thirteen and she was eighteen i noticed that it did not affect her at all"
2529,anger,"i was to meet a friend at the bus stop ( he was coming to visit us ) and he did not turn up after having waited for him for some time ( about an hour ) i called him up , to be told that he did not intend to come as he was feeling tired"
2530,anger,"i experience this emotion quite often but the day i was most angry was the day i got pulled up for something i had not done it happened during my school days , i had not spoken a word in class but the monitor had written my name on the board so i had a remark in my callender which i had to get signed by my parents this remark resulted in me being spanked"
2531,disgust,i was once raped ( one year ago ) by a man who was a lot older than me and whom i just met maybe it wasn ' t rape but the man wanted more than i wanted to give him since there were other people in vicinity
2532,sadness,"the holidays come to an end , and the next day we had to go back to university and to the exams"
2533,shame,"when i was leaving home i decided to leave without saying good bye to my young brother my brother saw me and said , will you not say good bye to me ? he is only 31 2 years old"
2534,anger,i was so angry with a patient who refused to take drugs
2535,fear,"afraid of getting alone without friends , without anybody"
2536,joy,when my husband and i decided to take a few days holiday after a particularly trying period
2537,disgust,when after a party celebrating a friend ' s 21st birthday upon leaving i found 10 people outside throwing up and further 4 unconscious
2538,fear,i was given a wristwatch by my first girl and after two days another girl of mine also gave me a wristwatch
2539,anger,"in the house where i live there is a new flatmate his friends unfortunately are the dirt of society , intelligent , fashonable , rich and bored at a party recently they were doing things i didn ' t like done in my house i felt angry at them"
2540,sadness,when i saw my niece ( 5 yrs ) crying in the hallway for her mother who had passed away about a month ago
2541,shame,i was very drunk at a certain wedding party and i got involved in a fight
2542,shame,i feel ashamed when i act dishonestly toward somebody
2543,sadness,when my boyfriend said he did not want to see me anymore ( which turned out to be untrue )
2544,disgust,saw a dirty street
2545,shame,"at the funeral of my uncle , i was one of the bearers i was not familiar with the etiquette and acted tactlessly because of my ignorance"
2546,fear,when i saw the movie poltergist
2547,fear,when the doctor told me that there was something wrong with my eye and i had to undergo an operation
2548,shame,acting in a play at the orientation camp made me feel timid
2549,guilt,"when i am dishonest to a friend to whom i am very close i feel guilty because i know that he gives a different version of the truth and i have not corrected these mistakes , and he is aware that i know that they are wrong"
2550,joy,"when i realised that i was forgiven by the god who is there , when i realised how much god loves me and that my acceptance with him is not based on my performance that he loves me unconditionally and showed that love in christ who died because i do need forgiveness"
2551,anger,when my car suddenly broke down !
2552,shame,felt i had not appreciated my parents enough regretted the problems i ' d caused
2553,disgust,"four weeks ago i felt very much touched to find an asciatic patient who had asked the very morning to be tapped of the fluid , dying in the evening i was really disgusted because this was the medical staff ' s negligence had the clinical officers done something that very morning he might have been alive today"
2554,anger,"a friend of mine uses butter instead of oil when he is cooking i am always angry about that , because it is an unnecessary luxury recently we both were cooking and he wanted to use butter again when i had already put the oil into the pan , he poured it out again and put the butter into the pan"
2555,disgust,"i met a girl ( 22 years old ) , married i liked her i asked her for a date and i kissed her i discovered that she lived nearby where i passed every day i got amused thinking that her husband would be or me i didn ' t talked to her anymore"
2556,shame,when i went for the first time in my life to a nudist beach
2557,disgust,i met my best friend ' s husband with a prostitute
2558,disgust,when i was about to clean the draining board and saw it looked underneath the sink ( i live in a students hostel )
2559,anger,i got angry with a stranger in a train who behaved impertinently and immorally
2560,disgust,saw my father with that woman he is married to now
2561,fear,one time i set up my journey at night going to a certain bar on the way i met my friends and they told me that two people had died because of heavy fighting i proceeded on but with fear
2562,sadness,the inability to read a book at college
2563,disgust,"the time when i cleaned the house and everything was tidy , then my cousin , who is 4 years old , came with a muddy pot and made a mess of the whole thing"
2564,fear,two summers ago my best friend and i drove into unknown mountains at midnight to pick up my broken car we told one another horrifically scary ghost murder stories and succeeded in scaring eachother pretty well even though somewhere in our heads we knew the fears were unjustified
2565,anger,having my personal objects rearranged by someone else without my consent and having it arranged to their taste then trying to find a particular object they rearranged for an hour or more
2566,disgust,"recently in the tram , a man ran his fingers over my girlfriend then over me"
2567,anger,i had not eaten anything for 2 days to be able to pay the fine for my fianct but he stayed in another town and spent one thousand shillings in the restaurant during the same time
2568,shame,i was very ashamed when i was neglected by a certain friend whom i was thinking loved me very much
2569,sadness,"after having been ill , when i was coming back to the hostel , i felt very sad leaving home"
2570,sadness,i felt sadness when i had to get separated from the woman i loved who had to leave for her motherland
2571,fear,somebody told her friend that she would hit me wherever we would meet
2572,guilt,when i was 4 5 years old my mother gave me some parts of a chocolate bar and ordered me to bring it to my father working outside on my way i could not resist the temptation and ate it myself
2573,sadness,death of my grandmother
2574,joy,when i saw my family after a separation of one year
2575,anger,a new gas connection was to be installed and the mechanic who came to do it was very rude to my mother and me i rushed to thhe dealer with my mother and had a fight with the dealer as he seemed to be unreasonable and was taking the mechanic ' s side ultimately the matter was resolved after my father went and spoke to him the mechanic was asked to apologize
2576,disgust,"i became disgusted with the man on whom i had counted , who i had trusted , the man who should have been my mainstay my father i could hardly make myself ( and the others ) believe in this emotion it has cumulated after events and deeds everything can happen in this world"
2577,disgust,when people press analyze a particular newsworthy item ( cal football team ) which i am a member and can only see the situation in a bad light and always put the team down
2578,shame,"when i made the same mistake that i had accused someone else of , and this was obvious to a third pereson"
2579,guilt,i speak harshly to my parents though they only mean my own good
2580,shame,we were discussing a subject ( i knew very little about it ) and i was holding my ground they showed me that i was wrong
2581,guilt,i had to take care of my little brother when i met a friend i did not pay attention to him for a certain time and he was hurt while he was playing
2582,guilt,it was when i discovered that the girl who i had proposed was a friend ' s girlfriend
2583,guilt,when i was in the puberty i smashed the favourite toy of my little brother because of a fit of rage
2584,sadness,when i heard that my friend had started drinking beer
2585,shame,"that my brother and father are into alcohol , two men with priviledge not using it positively"
2586,sadness,my grandmother died
2587,disgust,"i do not like one of our neighbours as they are very selfish whenever they want something or need help they come to see us , otherwise they do not even bother about people who live next to them"
2588,anger,before the certificate examination i was very poor in biology ( the worst result in my class ) ever since f 5 it had been getting poorer and poorer i had tried my best and had spent most of my time studying this subject finally my results were so bad that i thought that it was just not fair
2589,disgust,"getting back my math midterm , i received a lower grade than i thought i would get after going through the questions i felt that the grader had graded harshly and i had made only a few ? errors"
2590,anger,"during a football match , the other team was rude and they hurt my team members and me the coach was prejudiced against us and punished us unreasonably later we fought with each other and the match had to be cut short"
2591,joy,i realized the girl liked to be with me
2592,sadness,i felt sad at having to leave my girlfriend after constant problems and failed attempts at reconciliation my sadness was caused by the irreversibility of the decision
2593,sadness,when my dad gives priority to my kid brother ' s band and his other activities we both play in different bands and rehearse in my parents garage
2594,guilt,when i was young i felt guilty because i thought that i had commited a grave sin
2595,fear,i was walking home from a place on southside and i live on northside and i was followed i headed my most direct route
2596,sadness,no response
2597,shame,being rude to somebody who was impolite to me
2598,guilt,"at secondary school , one of my classmates lost her locker key during a class i saw two other classmates holding a key and talking secretly i do not know why i suspected them , also another classmate supported me he remembers that these people had only one key in the key ring , this had seemed strange to him besides another classmate said that he had seen them selling books at a book shop and they should not have had such books i told the teacher and the person was caught he had sold the books and was forced to quit school i found that i had not helped him as he stole later on also i felt guilty"
2599,joy,when they told me that i had been admitted to the faculty of medicine
2600,fear,when my little sister was sick at home and i thought that she would die
2601,fear,crossing a street of several ways the cars began to move and i thought that i was going to be trampled
2602,shame,when an intimate friend of mine passed b a with first class and i got only pass class
2603,guilt,"car accident i let a 16 year old , incompetent parson take the wheel and i feel very guilty about what happened even though i suffered the worst injuries"
2604,sadness,when grandfather died
2605,sadness,when i couldn ' t go for a trip with my friends in a holiday
2606,sadness,getting to know that my uncle in america had a brain tumor
2607,fear,canoeing across harbour in winds 20 knots and rising seas
2608,sadness,my good friend misunderstood me
2609,fear,i had a car accident
2610,disgust,"after my 2 , when i did not get admission in b e i felt disgusted"
2611,guilt,when i don ' t fulfill my obligations
2612,joy,my father stayed abroad for one year he does not like to write letters because he makes ortographic mistakes i never had a good relation to him he wrote me a letter in which he said that he loved me
2613,joy,day i received my t e score and acceptance into my chosen course
2614,fear,"when i had to travel alone , unescorted for the first time it was an over night journey by train to a distant place"
2615,sadness,"i was at home alone when i realized that a young roe approached our house i hid because i did not want to frighten it it limped some time later , when i thought that it had already run away , i saw it lying on our terrace i came nearer and saw that it was terribly wounded i informed the ranger who said that the roe must have been attacked by dogs he had to shoot it"
2616,disgust,"once again , my life partner came back home drunk at midnight"
2617,sadness,at the end of my senior yr in high school i found out that a friend of mine i knew had cancer had been diagnosed as terminally ill
2618,shame,when i had to act alone a character for a public ( 40 people )
2619,joy,receiving a letter form a girl that means a lot to me emotionally
2620,sadness,"this occurred when my girlfriend and i have to finish our relationship due to some circumstances between her and her family i was really sad , hurt and couldn ' t really find any reason why am i still living is this life is all about ? this was one of few question which crept up vividly every time i thought about what had happened"
2621,anger,"in september 1984 , i was forced to live with someone i did not like the first week we were at loggerheads and our conversation was like a debate the atmosphere was very bad when he learnt that i had got 95 marks in a test he told me a failure , you lost 5 marks i was very angry , not because my marks were lower than his , but because i could not tolerate his pride i did not show my discontentment and carried on doing my work"
2622,disgust,"i was sitting in school , waiting for my sister to go home suddenly a boy put fire in a paper and threw it were i was sitting the paper didn ' t get me , but i felt terribly disgusted at this cowardliness and irresponsibility that caused a great discussion we went to the director and he , drunk as always , said that i was attention in school i felt disgust of this situation , and of the persons implicated in it"
2623,joy,getting a part time job
2624,anger,during military service a superior reproached me unjustly this led to friction in a lot of situations
2625,shame,when i failed the m s c exam
2626,anger,once i had an argument with my friends and i knew that i was right my friends went on arguing with me even though they did not know the right thing
2627,shame,when i got 1 mark in an abnormal psychology exam
2628,sadness,"when my father passed away of cancer , i was extremely saddened he was not very old , which made matters worse the actual death was horrendous , but the moving funeral saddened me more so"
2629,guilt,"feeling guilt after greed , buying chocolate and pigging out to the point of feeling sick , especially as i am fat"
2630,guilt,sometime back i came across a certain man who was badly beaten by some people because he was found raping the wife of the village headman
2631,fear,"i had this experience of fear when few people were fighting at a social one night , which one of my relative was involved my fear was greatly for him because he was being assaulted badly"
2632,shame,when my mother surprised me while masturbating
2633,guilt,i had a girlfriend which i used to call regularly then i didn ' t phone her for a while at a certain moment i felt a little tension which became worse
2634,guilt,forgot to collect post for a friend
2635,shame,when i forgot the birthday of my best friend and i innocently came to visit her one week later
2636,anger,"a person close to me mistook my good intentions for bad , and therefore associated unpleasant traits to me"
2637,disgust,when someone i had had a relationship ( purely sexual ) with came up to me after i had used her and acted as if nothing had changed
2638,joy,after intercourse
2639,disgust,"last week a former school ( secondary ) mate of mine , who is now in a differentt school came to my room here at unza in my absence he was drunk and he vomited in my room i was unhappy"
2640,guilt,"i was working as a secretary my boss was to go to give a lecture , and wanted me to give him the exact address of the place"
2641,joy,when my parents complimented me very nicely on something
2642,anger,"in a tram , the ticket seller was commanding , taking the role of a leader , trying to emphasize her non existent authority with undue strictness towards a good humoured drunk who could not find his ticket at once"
2643,fear,when i flew from athens to copenhagen after a holiday the plane was caught in a storm and it began to shake and i thouhght that we were going to crash
2644,guilt,"one day my boyfriend put my hand on his penis and i felt well , but after i felt a guilty conscience because i hadn ' t thought about the consequences that this could have brought if i had gone farther"
2645,anger,"i was on vacation , and therefore i did not attend a meeting of the day care centre nevertheless , the very day i came back they called me early morining to ask me what are you going to do about the matter ? ( which had been discussed in the meeting ) then i got angry"
2646,guilt,when i scored the third goal to my own side at a football match against william murray secondary school and we were badly defeated
2647,fear,i bet that i would jump down from a window i was sure that i would jump but before i did it i rather felt fear
2648,guilt,i felt guilty after stealing a cookery book from my colleagues
2649,joy,when my boyfriend last told me he loved me after i gave him an impulsive kiss
2650,sadness,sadness this is an emotion which i have felt very often recently i can ' t remember a concrete example i will describe my general impression from severl situations which evoked this feeling in me
2651,fear,when i was hitch hiking and i went with a man who drived like a madman
2652,disgust,whenever i see a spider or a snake i feel disgusted
2653,sadness,when my boyfriend did not turn up in time as he promised he would be coming
2654,fear,fear from the unknown i felt fear when i sat for the entrance examinations
2655,fear,"i borrowed a car which was supposed to be used for a long journey a few hours later , and one of the tyres burst in the middle of the town and i did not know what to do"
2656,guilt,"i was coming back home with my mother when the purse i was carrying got stolen it was done so swifty that i did not realize what had happened till much later a lot of money and the keys of the house were lost i was guilt ridden at my carelessness i felt terrible as i do not normally loose things and this was quite important , especially the keys"
2657,sadness,a friend ' s brother died
2658,disgust,it was when i read a newspaper article on the future and they foresaw that we would be eating frog burgers by the year 2000 an illustration showed a frog between two pieces of bread
2659,guilt,when i caused problems for somebody because he could not keep the appointed time and this led to various consequences
2660,sadness,i felt sad when my boyfriend and i were apart for some time
2661,guilt,i forgot my mother ' s and sister ' s birthdays ( they fall on the same day )
2662,fear,when my neighbour ' s house was broken into and shots could be heard
2663,joy,being together with my best friend
2664,joy,"during my summer vacations i planned a carnival for the community youth center with a few other volunteers i was the head of the organizors and we spent over a month planning it during this period we got to know and understood each other we discovered each others potential and we planned many interesting things for the carnival the day of the carnival everything was bright , the programmes went well and the attendants enjoyed it i felt extremely excited about it"
2665,anger,a friend had promised to call me at a certain time i expected his call impatiently but in vain
2666,shame,no response
2667,joy,when i met my mother after months of absence
2668,disgust,when i listened to a conversation of friends talking about the power of money
2669,disgust,no response
2670,disgust,when i ate a rotten apple
2671,shame,"i played in a stage play suddenly , in front of 200 people , i could not remember the words i had to say"
2672,fear,when our school was raided by the pupils of the boys secondary school who beat us up
2673,disgust,with the n z rugby union wanting to send the all blacks to south africa
2674,anger,despite our good performance and excellent results the management refused to meet our demands
2675,guilt,i was said to be responsible for my mother getting ill and growing thin i did not realize that it really was my fault until several weeks later
2676,fear,"my mother , my sister and i were sitting in the sitting room and watching a film on tv my father came home drunk and told us to turn off when we did not do that he switched off the fuse and started shouting we were sitting in the dark and i was afraid that he would do us a harm"
2677,sadness,"two years ago my best friend died in an accident , just a day before my birthray we were very close to each other and i felt very sad at loosing a close friend"
2678,joy,"after being away on a holiday for 2 months , a friend , who lived interstate , had remembered when i ' d get back and phoned to welcome me home on the night of my arrival"
2679,disgust,in ward 2a there was a patient suffering from syphilitic paraplegia and had pressure sores the wounds had offensive smell that only a few people the place
2680,sadness,i feel sadness when i only imagine that i could lose a close person some time ago i lost a man whom ai greatly respected
2681,shame,when i was unable to respond to a welcome in my indigenous language of maori at an important function where i was the only woman in the group and it was expected of me
2682,guilt,when i didn ' t bring my girlfriend home one night later she told me that a cardriver solicited her
2683,guilt,i had quarelled with a friend of mine and i later realized that it was also my fault
2684,anger,when someone ignores what i am saying or doesn ' t let me have my point of view and they monopolise a conversation
2685,shame,i made a comment and it was interpreted completely differently from what i had meant when i said it i realized how my mother had understood it
2686,anger,"when my father made my mother go through really terrible situations , i felt furious , impotent , nervous , upset ,"
2687,joy,when i was told that i was selected to attend medical assistant training
2688,joy,when i obtained good marks in a subject i had failed before
2689,anger,i wrote an exam and happened to have not done as well as i thought i would i was angry to myself for not having done so well
2690,fear,i was approaching my exam time and my books got stolen i was in a panic as i thought that i would not do well enough to be considered for the economics quota i cried a lot but that did not help and as the exam day came near a strange fear gripped me
2691,guilt,"when i break someone ' s things out of carelessness , or do something to make others feel unhappy or hurt the self esteem self confidence of others , especially if they happen to be friends or family members"
2692,disgust,finding out that some students are getting good reports they do not deserve
2693,anger,i loved a person and he went away it wasn ' t necessary that he left me to reach his goals
2694,sadness,when i had to leave home to go to some other place to study
2695,joy,"when i saw a friend of mine , whom i had not seen for a long time and i had lost his address and telephone number"
2696,sadness,when i had not understood anything after a lecture
2697,disgust,"when i lose on my bets on anything baseball , football , basketball , track , craps , poker , or arcade whether its 5 dollars or 200 i feel that i should never have done it in the first place"
2698,shame,failing an examn
2699,shame,asking someone to give me back the money i once lend him because i needed it myself
2700,sadness,the loss of the woman who loved me most till today
2701,disgust,when i slept with a guy because my best friend wanted me to he had never had intercourse with anyone and had a terrible complex about it
2702,anger,i was most angry when india lost the triangular cricket trophy held in australia i was so angry that i fought ( orally ) with my friend
2703,disgust,when my fellow classmates were involved in a quarrel
2704,guilt,"a certain woman had asked me to make something for her and i kept putting it off when i finally made it , i did not see her for days only to be told one day that she had collapsed and died i felt quite guilty as she had jokingly said that i might not do what she had requested me to do"
2705,joy,"when the results of the part i exams came out i felt tremendous joy in my heart the results came out after a long period of worry and anxiety , so it gave me endless relief and joy"
2706,fear,when a man rang the doorbell and wanted to enter the house with violence i was alone at home that moment
2707,sadness,"i partly colored my hair black my mother didn ' t like it and reproached me to be a subversive element later on she stated that this was due to my friends as i see it , this all resulted from colouring my hair"
2708,guilt,i told my pesent boyfriend that i was an australian as are my parents as the relationship developed i found it harder and harder to confess and became sure it would end our relationship he eventually found out when told in front of me by my mother
2709,disgust,"quarreling with my father , when he made false assertions"
2710,anger,i was waiting to receive the participation on the profits and did not receive it
2711,anger,"mr c took my drawing pens , without having asked for my permission first , and lost them he did not tell me about it till i asked him and then did not try to find them"
2712,joy,"on my 18th birthday i passed the driving test i was glad because i had had to study very much , because i had been lucky and because as a proof that it was really difficult not everybody had passed the test"
2713,sadness,"in may 18th , 1984 my boyfriend went to the u s a in december i was told he passed away he had cancer of the oesophagus"
2714,joy,"when there was a possibility of getting on better in professional life i valorized very much this aspect people showed me this possibility , not the real fact ( even because until now )"
2715,joy,when i got permission to study at a place which was far away from my home
2716,fear,"i was in about grade 7 , i came home from school one day and was told that my mother had skin cancer and would have to go to the hospital straight away"
2717,anger,during the short period of my unemployment about six years back
2718,disgust,"while watching a film of an experimental operation on a cat ' s brain in which the cat had metal pieces protruding from its eyes , mouth etc to keep the head stable while being cut open"
2719,joy,when i saw a good friend again after not having seen her for a long time
2720,anger,when they stole my dark blue tennis
2721,sadness,"during the funeral of my grandmother , when i saw my mother and other family members crying"
2722,guilt,"when i was with a girl who seemed to love me , while i was with her just to go to bed with her"
2723,guilt,"when i finished a test type of exam and did not dare to answer any question , i doubted whether i would pass the exam or not"
2724,sadness,when my dog died
2725,guilt,being rude to someone i do not like
2726,sadness,"when i took the b a exams , i was expecting a 1st class even though i had not done very well when the results came out i felt sad as i had missed the 1st class by 12 marks"
2727,joy,"inter national sports events won by my favourite national team or player brings me joy , e g when india won the world cup cricket match"
2728,sadness,when i went to see the dead body of my uncle this was a very dramatic expreience as it was the first time that i entered a mortuary
2729,joy,when i heard that i had been selected fot the first year at the university of zambia this was after my form five at chikola secondary school
2730,guilt,when i was reproved eighth grade of high school
2731,anger,"when i left after the examination to enter the university , and even though i had studied the whole year i made a bad exam"
2732,fear,i felt afraid of losing somebody i love to another person because i was an incomprehensive person and lots of time i fight with this person
2733,sadness,"we are several friends but our characters are very different and we inevitably split in the two extremes it is sad that i myself don ' t know what to do , i try not to hurt either of the parties because there are conflicts to which one i should belong"
2734,disgust,"i felt it when i saw a colleague of mine eating like a beast at the same time he was making gestures , speaking and making the hell of a noise"
2735,joy,my friend took me to civo stadium to watch and listen to the music of the international singer sam mangwana i had no hope of going there since i had no money so he gave me the money for admission
2736,anger,i was angry when i watched a ski race all the austrian skiers dropped out
2737,shame,"on the way back from a summer spent in sweden , i drunk with a man in the train i had drunk so much that when i got home i fell asleep in the entrance hall i have never drunk that much , neither before nor after that incident i was ashamed because my mother and my sister had to see me in that state and my father had to carry me to bed"
